关键词,帖子内容,帖子链接,帖子点赞数,帖子转发数,帖子评论数,图片视频链接,发布时间,发布者的id,发布者的姓名,发布人的账号类型,发布人的粉丝数,发布者的关注数,作者简介,ip归属地,性别,全部微博数量,微博标签,图片视频类型,博主分类,公司,大学,加入微博时间,信用,爬取时间,发布终端
ChatGPT,搅动AI池水，ChatGPT触痛了谁的神经？ChatGPT这类生成式AI工具，让机器开始大规模涉足知识类和创造性工作，这涉及数十亿人的工作，未来预计能够产生数万亿美元的经济价值 ,https://weibo.com/1599548714/MrESjtqXG,0,0,0,None[],2023-02-05 22:59:16,1599548714,兰如书屋-捷墉,无认证,1295,378,天地忌盈，业不求满...知止。做人贵在顺其自然和自知之明，对人对事都不可强求。,IP属地：广东,男,26167,"视频累计播放量73,",图片,None,硕浦富骏置业有限公司,university,2011-05-24 23:28:18,信用较好,2024-04-05-10-24-01,iPhone客户端
ChatGPT,[心]chatgpt🙃🙃🙃 ,https://weibo.com/1738279153/MrESflhX1,0,0,0,None[],2023-02-05 22:59:06,1738279153,王小蝉521,无认证,35,8,🌸招财~招财~招财~☝️个亿🐬,,女,178,"视频累计播放量31,",图片,None,None,university,2010-05-06 11:40:22,信用较好,2024-04-05-10-24-02,三星android智能手机
ChatGPT,#ChatGPT#很多东西要被颠覆了 ,https://weibo.com/1744931373/MrESf2A8w,0,0,0,None[],2023-02-05 22:59:05,1744931373,燚燚_森森,无认证,98,185,,IP属地：北京,男,4901,"视频累计播放量162,",图片,None,None,university,2010-05-21 20:01:47,信用较好,2024-04-05-10-24-03,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/6B7EUM"" rel=""nofollow"">nova7你在焦点在</a>"
ChatGPT,"#股票[超话]#流量气球事件，在这个周末持续发酵，让中美关系再度紧张，可能会影响到外资对中国资产的风险偏好。预测周一指数会因此杀跌，外资会净流出，然后大金融和权重白马股延续回调走势。但暂时不必担忧行情结束，市场做多情绪已被激活，内资也已开始进场接力。个股赚钱效应明显提升（久违的百股涨停潮+万亿成交）。庞大的新增储蓄（比往年多了8万亿），有望成为做多A股的有生力量！

短线题材方面，人工智能板块仍有炒作空间，ChatGPT的横空出世是划时代的，对传统互联网是的颠覆性的。对人类社会生活的影响，也远超去年的元宇宙！#股票技术##财经##股市分析##投资##今日看盘##上证指数#",https://weibo.com/5517677645/MrESdhdM9,0,0,1,None['https://wx1.sinaimg.cn/orj960/0061pC0Jgy1hat09tvgn8j30u011e0yi'],2023-02-05 22:59:01,5517677645,一哥股市论金,黄V,123444,590,"资深证券分析师，玩股票十多年了，永远坚守价值投资,永远遵从价值投资是获利之本 个人突出特点：心理素质过硬，善于操作大波段的获利行情,价值选股",IP属地：广东,男,43355,"V指数 财经 57.97分,昨日发博15，阅读数1万+，互动数21,获赞赏次数32,视频累计播放量45.9万,财经博主,",图片,财经博主 头条文章作者,中信证券股份有限公司,北京金融学院,2015-04-03 08:14:08,信用极好,2024-04-05-10-24-04,热门股评师iPhone客户端
ChatGPT,chatGPT赶紧的，把我工作替了吧。 ,https://weibo.com/7645903503/MrERUkh1m,0,0,0,None[],2023-02-05 22:58:16,7645903503,花开1224,无认证,21,55,拥抱变化。,IP属地：陕西,女,1588,"视频累计播放量2682,",图片,None,None,university,2021-07-12 21:24:51,信用较好,2024-04-05-10-24-05,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/3HbuLH"" rel=""nofollow"">Redmi K30 Pro 真旗舰</a>"
ChatGPT,我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ http://t.cn/A69mbFwH ,https://weibo.com/2202742557/MrERT9r1l,0,0,0,None[],2023-02-05 22:58:13,2202742557,onef1984,无认证,391,921,我戴着我在生活中锻造的锁链,IP属地：天津,男,4133,None,图片,None,None,university,2011-06-27 15:28:47,信用极好,2024-04-05-10-24-06,微博问答
ChatGPT,//@名校公开课bot :2个月月活过亿！ChatGPT之父传奇！[围观]//@静静的顿猴 :也太像《硅谷》了！//@来去之间 :转发微博,https://weibo.com/2006429255/MrERIcj6X,0,0,0,None[],2023-02-05 22:57:46,2006429255,trikyyyy,无认证,512,549,"世界上只有一种真正的英雄主义,那就是认清生活真相依旧热爱生活",IP属地：北京,男,4988,None,图片,None,conac,北京信息科技大学,2011-03-04 21:22:26,信用极好,2024-04-05-10-24-07,微博轻享版
ChatGPT,@泼墨C :哈哈哈哈哈，👉可以！//@醺2046 :直男找chatGPT好好练，很快能变身渣男[允悲]//@德古拉船长元年 :全世界的人在训练 chatGPT，优势太大了//@Saic :不知道是谁训练谁 [开学季]//@祝佳音 :现在我们开始进一步探索美丽的中文语言。 http://t.cn/A69rMIGP,https://weibo.com/7754799233/MrERBclFE,0,0,0,None[],2023-02-05 22:57:30,7754799233,立新猫,无认证,103,2290,提剑跨骑挥鬼雨，白骨如山鸟惊飞,IP属地：广东,男,3676,None,图片,None,None,university,2022-04-18 22:45:21,信用一般,2024-04-05-10-24-08,微博极速版
ChatGPT,我围观了@褚明宇 的回答，该问题价值2198.00元，围观仅1元，快来一起围观~ http://t.cn/A69mbFwH ,https://weibo.com/1649358217/MrERpEHEp,0,0,0,None[],2023-02-05 22:57:03,1649358217,真的马蒂斯,无认证,197,623,,IP属地：湖北,男,2930,None,图片,None,None,university,2010-07-03 10:07:45,信用极好,2024-04-05-10-24-09,微博问答
ChatGPT,和chatgpt聊到流泪，好久没有人听我喋喋不休无意义又全是个人情绪的话了 ,https://weibo.com/7770820886/MrERlteZm,0,0,0,None[],2023-02-05 22:56:53,7770820886,聖誕留多日陪我,无认证,12,139,球来就打,IP属地：湖北,男,1599,"视频累计播放量34,",图片,None,None,university,2022-07-08 18:26:05,信用较好,2024-04-05-10-24-10,iPhone客户端
ChatGPT,与人工智能对话（一）【问问它知道什么】#人工智能##CHATGPT# http://t.cn/A69dPMFb ,https://weibo.com/1033836820/MrERh5FVI,8,3,1,"http://f.video.weibocdn.com/o0/hedASBrzlx082V1QKa4M01041200NrQL0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1712287451&ssig=nL9aO3E%2FZC&KID=unistore,video[]",2023-02-05 22:56:42,1033836820,Prohibitiveness,无认证,1738,527,,,男,2385,"视频累计播放量1万,",视频,None,None,university,2010-02-05 20:13:05,信用较好,2024-04-05-10-24-11,"<a target=""_blank"" href=""https://t.sina.com.cn"" rel=""nofollow"">微博视频号</a>"
ChatGPT,"【1】：ChatGPT 火爆的一塌糊涂。
这个软件仅仅推出2个月，月活用户已经高达1亿人。上一个爆款的软件还是TikTok（抖音海外版），而他们达到1亿用户也要用了9个月，ChatGPT增长速度太惊人 了。
比尔·盖茨评价ChatGPT称，这种人工智能技术出现的重大历史意义，不...
来自 洪福的投资笔记 的讨论http://t.cn/A69dPMe8",https://weibo.com/2986091163/MrERgqKaQ,0,0,0,None[],2023-02-05 22:56:41,2986091163,綦觞,无认证,540,568,,IP属地：北京,男,7859,None,图片,None,None,university,2012-10-08 18:09:31,信用较好,2024-04-05-10-24-13,雪球
ChatGPT,互联网 智能手机 CHATGPT 希望不要掉队 ,https://weibo.com/2382633990/MrERfi6Eo,0,0,0,None[],2023-02-05 22:56:38,2382633990,PJ_GORDON,无认证,868,5419,尚存一丝斗志的微秃中年男人,IP属地：湖北,男,9810,"视频累计播放量6.5万,",图片,None,中国银行,华中科技大学,2011-09-08 23:48:28,信用较好,2024-04-05-10-24-14,iPhone客户端
ChatGPT,"ChatGPT潜修

达鸿飞：2023年元宇宙与Web3值得关注的发展机遇 http://t.cn/A69dPf1x ",https://weibo.com/1701358020/MrER2gUJw,1,0,0,None[],2023-02-05 22:56:07,1701358020,皇帝张,黄V,710,2979,"this is me,richard from north china!",,男,6359,"视频累计播放量451,",图片,深圳市凯艺服装有限公司 职员,医疗/健康,西安外国语大学,2010-07-13 15:52:02,信用极好,2024-04-05-10-24-15,分享按钮
